stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14457,155105,Highland Dr @ 5451 S,5451 S Highland Dr & Walker Ln,40.651883,-111.834869,,,,,,0
14459,155107,Highland Dr @ 5239 S,5239 S Highland Dr & Walker Ln,40.656095,-111.834712,,,,,,0
14461,155109,Highland Dr @ 5075 S,5075 S Highland Dr & 5075 S,40.659519,-111.834695,,,,,,0
14463,138280,Highland Dr @ 4805 S,4805 S Highland Dr & Murray Holladay Rd,40.664955,-111.838998,,,,,,0
14464,138304,Highland Dr @ 4745 S,4745 S Highland Dr & Murray Holladay Rd,40.666359,-111.839165,,,,,,0
14466,138282,Highland Dr @ 4565 S,4565 S Highland Dr & Murray Holladay Rd,40.671706,-111.840649,,,,,,0
14467,137219,Highland Dr @ 4435 S,4435 S Highland Dr & Osage Orange Ave,40.675099,-111.841776,,,,,,1
14469,137221,Highland Dr @ 4285 S,4285 S Highland Dr & Olive Dr,40.677981,-111.842482,,,,,,1
14470,137222,Highland Dr @ 4175 S,4175 S Highland Dr & Holladay Blvd,40.680818,-111.842986,,,,,,0
14471,126426,1100 E @ 1621 S,1621 S 1100 E & Logan Ave,40.734177,-111.859557,,,,,,0
14472,126427,1100 E @ 1545 S,1545 S 1100 E & Kensington Ave,40.73607,-111.859581,,,,,,0
14473,126428,1100 E @ 1457 S,1457 S 1100 E & Roosevelt Ave,40.737981,-111.859523,,,,,,0
14474,126429,1100 E @ 1371 S,1371 S 1100 E & Harrison Ave,40.739737,-111.859539,,,,,,0
14475,126414,1100 E @ 1229 S,1229 S 1100 E & 1300 E,40.742196,-111.859524,,,,,,0
14476,126415,1100 E @ 1157 S,1157 S 1100 E & Princeton Ave,40.743657,-111.859515,,,,,,0
14477,126416,1100 E @ 1081 S,1081 S 1100 E & Yale Ave,40.745638,-111.85949,,,,,,0
14478,126417,1100 E @ 991 S,991 S 1100 E & Michigan Ave,40.747572,-111.859466,,,,,,0
14479,126228,1100 E @ 909 S,909 S 1100 E & 900 S,40.749459,-111.859452,,,,,,1
14482,126377,200 S / 1000 E (WB),1001 E 200 S & 1000 E,40.765097,-111.862225,,,,,,0
14483,125450,200 S / 300 W (WB),316 W 200 S & 300 W,40.765116,-111.900259,,,,,,1
14501,137133,1300 E @ 4765 S,4758 S 1300 E,40.66644,-111.854259,,,,,,0
